Region,YearMonth,T2M,PRECTOTCORR,WS2M,RH2M
Singida,2012-07-01,17.549677419354836,0.1,3.033225806451613,63.36709677419354
Singida,2012-08-01,19.54290322580645,6.390000000000001,3.48258064516129,59.12322580645161
Singida,2012-09-01,21.345000000000002,0.94,3.9213333333333336,52.57566666666666
Singida,2012-10-01,23.503225806451614,9.26,4.207741935483871,49.9841935483871
Singida,2012-11-01,22.928333333333335,80.22,3.4063333333333334,61.141
Singida,2012-12-01,21.61225806451613,232.19,2.6848387096774196,70.63129032258065
Singida,2013-01-01,21.212903225806453,133.48000000000002,1.8599999999999999,75.8532258064516
Singida,2013-02-01,20.857499999999998,85.48,1.8964285714285716,75.14142857142858
Singida,2013-03-01,21.27806451612903,141.2,2.539677419354839,75.85032258064517
Singida,2013-04-01,20.192999999999998,151.49,2.3246666666666664,81.14266666666667
Singida,2013-05-01,19.937741935483874,19.78,3.395806451612903,69.15516129032258
Singida,2013-06-01,18.545333333333335,0.29,3.234666666666667,62.06033333333333
Singida,2013-07-01,18.27258064516129,0.9,3.1919354838709677,57.52483870967742
Singida,2013-08-01,19.970000000000002,0.74,3.8929032258064518,56.29806451612903
Singida,2013-09-01,22.14466666666667,9.53,3.8103333333333333,51.33533333333333
Singida,2013-10-01,23.092903225806452,2.79,4.482903225806451,48.90516129032258
Singida,2013-11-01,23.973333333333336,23.27,3.768333333333333,53.15466666666667
Singida,2013-12-01,21.684193548387096,179.2,2.2761290322580647,71.20870967741935
Singida,2014-01-01,20.990000000000002,201.32,1.4493548387096775,76.87741935483871
Singida,2014-02-01,20.254285714285714,139.54,1.9742857142857144,80.1082142857143
Singida,2014-03-01,20.948387096774194,160.6,2.2325806451612906,78.37935483870969
Singida,2014-04-01,20.174333333333333,91.47999999999999,2.8040000000000003,81.03566666666667
Singida,2014-05-01,19.984516129032258,30.92,3.6193548387096777,72.1316129032258
Singida,2014-06-01,19.494000000000003,3.2800000000000002,3.3449999999999998,66.10166666666666
Singida,2014-07-01,18.924516129032256,0.5,3.5106451612903227,62.20322580645161
Singida,2014-08-01,20.550322580645158,4.6,3.716774193548387,58.270322580645164
Singida,2014-09-01,21.526666666666664,3.48,4.302666666666667,53.121
Singida,2014-10-01,23.101290322580645,21.77,3.856129032258065,54.86290322580645
Singida,2014-11-01,23.06566666666667,81.77,3.6689999999999996,58.406666666666666
Singida,2014-12-01,21.36967741935484,163.39,2.3325806451612903,74.3025806451613
Singida,2015-01-01,20.611290322580643,162.19,1.6809677419354838,76.04645161290323
